"X" "Trat." "plot" "block" "trat" "c" "male" "female" "concat" "DBP" "IVDMD" "CEL.LIG"
"1" 1 "BAGCE 37 x Pioneiro" 21 "1" 21 "1" "3" "5" "35" NA NA NA
"2" 2 "BAGCE 38 x Pioneiro" 28 "1" 28 "1" "4" "5" "45" NA NA NA
"3" 3 "BAGCE 37 x CNPGL 92-38-2" 57 "2" 27 "1" "3" "11" "311" NA 35.27 4.32
"4" 4 "Pioneiro x CNPGL 92-38-2" 89 "2" 40 "1" "5" "11" "511" NA NA NA
"7" 7 "BAGCE 30 x Pioneiro" 13 "1" 13 "1" "2" "5" "25" NA 40.98 4.49
"8" 8 "BAGCE 21 x BAGCE 30" 101 "2" 1 "1" "1" "2" "12" 46.811 31.61 4.43
"9" 9 "Pioneiro x CNPGL 92-66-3" 144 "3" 37 "1" "5" "8" "58" 46.424 28.42 4.28
"12" 12 "BAGCE 21 x BAGCE 38" 148 "3" 3 "1" "1" "4" "14" 42.721 28.8 3.95
"15" 15 "BAGCE 21 x BAGCE 38" 3 "1" 3 "1" "1" "4" "14" 39.258 53.25 4.74
"17" 17 "BAGCE 21 x CNPGL 91-6-3" 5 "1" 5 "1" "1" "6" "16" 38.66 48.22 4.38
"24" 24 "BAGCE 30 x CNPGL 92-198-7" 158 "3" 15 "1" "2" "7" "27" 34.414 32.06 3.98
"25" 25 "BAGCE 21 x BAGCE 37" 60 "2" 2 "1" "1" "3" "13" 33.955 33.3 4.61
"26" 26 "Pioneiro x CNPGL 92-198-7" 36 "1" 36 "1" "5" "7" "57" 33.92 51.12 5.49
"27" 27 "BAGCE 21 x CNPGL 96-27-3" 93 "2" 9 "1" "1" "10" "110" 33.529 30.49 4.16
"29" 29 "BRS Canar  (CNPGL 92-66-3)" 56 "1" 56 "1" "8" "8" "88" NA 35.51 5.08
"31" 31 "BAGCE 37 x CNPGL 92-66-3" 151 "3" 24 "1" "3" "8" "38" 32.647 32.55 3.98
"33" 33 "BAGCE 21 x CNPGL 92-66-3" 7 "1" 7 "1" "1" "8" "18" 32.487 47.39 4.49
"35" 35 "CNPGL 92-79-2 x CNPGL 92-38-2" 107 "2" 54 "1" "9" "11" "911" 32.435 32.83 4.46
"36" 36 "CNPGL 92-66-3 x CNPGL 92-38-2" 119 "3" 52 "1" "8" "11" "811" 32.032 30.37 4.5
"37" 37 "CNPGL 91-6-3 x CNPGL 92-38-2" 45 "1" 45 "1" "6" "11" "611" 31.894 51.15 4.83
"40" 40 "CNPGL 92-198-7 x CNPGL 96-27-3" 153 "3" 48 "1" "7" "10" "710" 31.383 33.24 3.69
"41" 41 "BAGCE 30 x CNPGL 92-38-2" 116 "3" 19 "1" "2" "11" "211" 31.276 33.62 4.93
"43" 43 "BAGCE 37 x CNPGL 92-79-2" 163 "3" 25 "1" "3" "9" "39" 31.012 28.27 3.97
"47" 47 "CNPGL 91-6-3 x CNPGL 92-79-2" 43 "1" 43 "1" "6" "9" "69" 30.372 41.02 4.44
"48" 48 "BAGCE 21 x BAGCE 30" 1 "1" 1 "1" "1" "2" "12" 30.331 52.44 4.72
"49" 49 "BAGCE 30 x CNPGL 92-38-2" 19 "1" 19 "1" "2" "11" "211" 30.26 46.27 4.41
"50" 50 "CNPGL 96-27-3 x CNPGL 92-38-2" 59 "2" 55 "1" "10" "11" "1011" 30.195 30.55 4.16
"51" 51 "BAGCE 21 x CNPGL 92-38-2" 10 "1" 10 "1" "1" "11" "111" 30.148 46.56 4.6
"52" 52 "Pioneiro x CNPGL 92-38-2" 40 "1" 40 "1" "5" "11" "511" 30.053 44.5 4.85
"53" 53 "BAGCE 38 x CNPGL 92-198-7" 30 "1" 30 "1" "4" "7" "47" 30.001 45.72 4.39
"57" 57 "BAGCE 21 x CNPGL 92-66-3" 160 "3" 7 "1" "1" "8" "18" 29.808 31.17 5.06
"60" 60 "CNPGL 92-66-3 x CNPGL 92-79-2" 97 "2" 50 "1" "8" "9" "89" 29.128 34.09 4.25
"64" 64 "Pioneiro x CNPGL 92-79-2" 122 "3" 38 "1" "5" "9" "59" 28.756 31.32 5.11
"65" 65 "CNPGL 92-198-7 x CNPGL 92-66-3" 113 "3" 46 "1" "7" "8" "78" 28.689 34.68 5.28
"68" 68 "Pioneiro x CNPGL 92-38-2" 141 "3" 40 "1" "5" "11" "511" 28.531 33.47 4.95
"70" 70 "BAGCE 21 x Pioneiro" 72 "2" 4 "1" "1" "5" "15" 28.265 27.77 4.67
"71" 71 "BAGCE 21 x CNPGL 96-27-3" 135 "3" 9 "1" "1" "10" "110" 28 30.27 4.31
"73" 73 "BAGCE 30 x CNPGL 92-198-7" 70 "2" 15 "1" "2" "7" "27" 27.87 29.33 4.28
"74" 74 "CNPGL 92-66-3 x CNPGL 96-27-3" 109 "2" 51 "1" "8" "10" "810" 27.779 34.44 4.8
"75" 75 "BAGCE 21 x Pioneiro" 134 "3" 4 "1" "1" "5" "15" 27.661 29.13 4.72
"76" 76 "CNPGL 92-198-7 x CNPGL 92-66-3" 82 "2" 46 "1" "7" "8" "78" 27.656 32.76 4.14
